,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
288,289,Crit37,37,WhQ-One,WhQ,One,민재: 서현이는 뭘 찾아봤어? 소영: ,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: ,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다.,민재,서현이는 뭘 찾아봤어?,소영,가이드북을 찾아봤어.,가이드북 찾아봤어.,가이드북은 찾아봤어.,가이드북만 찾아봤어.,가이드북만 찾아봤어.,가이드북이랑 인터넷을 둘 다 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북을 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북을 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북은 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북은 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,소영이는 서현이가 가이드북과 인터넷 중에 가이드북만 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,-10.967166153398587,-11.591640410498528,-10.800271548269993,-11.992807196826748,-11.174443765696296,-11.822642958891196,-11.017754364437836,-11.765510070325817,-11.017754364437836,-11.765510070325817,-10.565416328110091,-11.25731893992285
289,290,Crit37,37,WhQ-Both,WhQ,Both,민재: 서현이는 뭘 찾아봤어? 소영: ,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: ,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다.,민재,서현이는 뭘 찾아봤어?,소영,가이드북을 찾아봤어.,가이드북 찾아봤어.,가이드북은 찾아봤어.,가이드북이랑 인터넷을 둘 다 찾아봤어.,가이드북만 찾아봤어.,가이드북이랑 인터넷을 둘 다 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북을 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북을 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북은 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북은 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북만 찾아봤어.,민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,소영이는 서현이가 가이드북과 인터넷을 둘 다 찾아봤다고 답하려고 합니다. 민재: 서현이는 뭘 찾아봤어? 소영: 가이드북이랑 인터넷을 둘 다 찾아봤어.,-10.967166153398587,-11.743854959335351,-10.800271548269993,-12.10801247643669,-11.174443765696296,-11.897202246209368,-10.565416328110091,-10.854538030285465,-11.017754364437836,-11.91118161754126,-10.565416328110091,-10.854538030285465
296,297,Crit38,38,WhQ-One,WhQ,One,재경: 가람이는 뭘 닦았어? 은아: ,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: ,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다.,재경,가람이는 뭘 닦았어?,은아,창문을 닦았어.,창문 닦았어.,창문은 닦았어.,창문만 닦았어.,창문만 닦았어.,창문이랑 바닥을 둘 다 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문을 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문을 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문은 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문은 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,은아는 가람이가 창문과 바닥 중에 창문만 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,-13.863152568141578,-14.118868543979193,-11.900912409048786,-12.557142990754551,-13.189972494493896,-13.75515489734055,-11.959903648916452,-12.158618327018083,-11.959903648916452,-12.158618327018083,-12.103166403820374,-12.6995470622669
297,298,Crit38,38,WhQ-Both,WhQ,Both,재경: 가람이는 뭘 닦았어? 은아: ,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: ,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다.,재경,가람이는 뭘 닦았어?,은아,창문을 닦았어.,창문 닦았어.,창문은 닦았어.,창문이랑 바닥을 둘 다 닦았어.,창문만 닦았어.,창문이랑 바닥을 둘 다 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문을 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문을 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문은 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문은 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문만 닦았어.,재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,은아는 가람이가 창문과 바닥을 둘 다 닦았다고 답하려고 합니다. 재경: 가람이는 뭘 닦았어? 은아: 창문이랑 바닥을 둘 다 닦았어.,-13.863152568141578,-14.092812483832285,-11.900912409048786,-12.487789231558523,-13.189972494493896,-13.578958245522173,-12.103166403820374,-12.228587300733354,-11.959903648916452,-12.149025095734205,-12.103166403820374,-12.228587300733354
304,305,Crit39,39,WhQ-One,WhQ,One,도영: 채원이는 뭘 썼어? 덕환: ,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: ,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다.,도영,채원이는 뭘 썼어?,덕환,모자를 썼어.,모자 썼어.,모자는 썼어.,모자만 썼어.,모자만 썼어.,모자랑 선글라스를 둘 다 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자를 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자를 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자는 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자는 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,덕환이는 채원이가 모자와 선글라스 중에 모자만 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,-12.700325052744757,-11.888556762075702,-11.31402490338939,-11.177699576215426,-13.009887736783892,-14.150570584963063,-11.160136995929648,-11.057618010356013,-11.160136995929648,-11.057618010356013,-12.389107142809133,-12.80486550351489
305,306,Crit39,39,WhQ-Both,WhQ,Both,도영: 채원이는 뭘 썼어? 덕환: ,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: ,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다.,도영,채원이는 뭘 썼어?,덕환,모자를 썼어.,모자 썼어.,모자는 썼어.,모자랑 선글라스를 둘 다 썼어.,모자만 썼어.,모자랑 선글라스를 둘 다 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자를 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자를 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자는 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자는 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자만 썼어.,도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,덕환이는 채원이가 모자와 선글라스를 둘 다 썼다고 답하려고 합니다. 도영: 채원이는 뭘 썼어? 덕환: 모자랑 선글라스를 둘 다 썼어.,-12.700325052744757,-11.930111256384029,-11.31402490338939,-11.185678876920813,-13.009887736783892,-14.113792496277485,-12.389107142809133,-12.472428671193663,-11.160136995929648,-11.22256810604134,-12.389107142809133,-12.472428671193663
312,313,Crit40,40,WhQ-One,WhQ,One,예진: 다은이는 뭘 골랐어? 수연: ,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: ,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다.,예진,다은이는 뭘 골랐어?,수연,피자를 골랐어.,피자 골랐어.,피자는 골랐어.,피자만 골랐어.,피자만 골랐어.,피자랑 음료수를 둘 다 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자를 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자를 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자는 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자는 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,수연이는 다은이가 피자와 음료수 중에 피자만 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,-13.636756377000191,-14.472137016263318,-11.859494797733785,-12.311317053008322,-12.97802338792373,-14.10533974416044,-11.516233447838296,-12.120631050546427,-11.516233447838296,-12.120631050546427,-11.831399613976295,-12.710523095357864
313,314,Crit40,40,WhQ-Both,WhQ,Both,예진: 다은이는 뭘 골랐어? 수연: ,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: ,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다.,예진,다은이는 뭘 골랐어?,수연,피자를 골랐어.,피자 골랐어.,피자는 골랐어.,피자랑 음료수를 둘 다 골랐어.,피자만 골랐어.,피자랑 음료수를 둘 다 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자를 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자를 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자는 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자는 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자만 골랐어.,예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,수연이는 다은이가 피자와 음료수를 둘 다 골랐다고 답하려고 합니다. 예진: 다은이는 뭘 골랐어? 수연: 피자랑 음료수를 둘 다 골랐어.,-13.968732583778557,-15.286473355170624,-11.936028039427802,-12.524476160287945,-13.380475344789781,-14.53312086416356,-12.029127002571805,-12.573530657080504,-11.663929510278937,-12.286964758703027,-12.029127002571805,-12.573530657080504
320,321,Crit41,41,WhQ-One,WhQ,One,은빈: 상호는 뭘 심었어? 윤석: ,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: ,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다.,은빈,상호는 뭘 심었어?,윤석,장미를 심었어.,장미 심었어.,장미는 심었어.,장미만 심었어.,장미만 심었어.,장미랑 국화를 둘 다 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미를 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미를 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미는 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미는 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,윤석이는 상호가 장미와 국화 중에 장미만 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,-12.693770886846185,-14.280248971811057,-9.707924481571087,-10.610485775994583,-11.681673984764856,-12.968388476822208,-9.831354338048435,-10.876153638849221,-9.831354338048435,-10.876153638849221,-10.838599964394753,-12.318970166737431
321,322,Crit41,41,WhQ-Both,WhQ,Both,은빈: 상호는 뭘 심었어? 윤석: ,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: ,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다.,은빈,상호는 뭘 심었어?,윤석,장미를 심었어.,장미 심었어.,장미는 심었어.,장미랑 국화를 둘 다 심었어.,장미만 심었어.,장미랑 국화를 둘 다 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미를 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미를 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미는 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미는 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미만 심었어.,은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,윤석이는 상호가 장미와 국화를 둘 다 심었다고 답하려고 합니다. 은빈: 상호는 뭘 심었어? 윤석: 장미랑 국화를 둘 다 심었어.,-12.693770886846185,-14.45034958717405,-9.707924481571087,-10.646535462894768,-11.681673984764856,-13.150134070865107,-10.838599964394753,-12.30508740222672,-9.831354338048435,-10.802119425376834,-10.838599964394753,-12.30508740222672
328,329,Crit42,42,WhQ-One,WhQ,One,보람: 동현이는 뭘 빚었어? 연아: ,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: ,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다.,보람,동현이는 뭘 빚었어?,연아,송편을 빚었어.,송편 빚었어.,송편은 빚었어.,송편만 빚었어.,송편만 빚었어.,송편이랑 만두를 둘 다 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편을 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편을 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편은 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편은 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,연아는 동현이가 송편과 만두 중에 송편만 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,-12.965892409524846,-13.549237474394962,-10.662025049081802,-11.824473348157968,-11.929007224105467,-13.026634924566356,-10.722151472674069,-11.429217947991729,-10.722151472674069,-11.429217947991729,-12.519591296707192,-12.983606346649188
329,330,Crit42,42,WhQ-Both,WhQ,Both,보람: 동현이는 뭘 빚었어? 연아: ,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: ,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다.,보람,동현이는 뭘 빚었어?,연아,송편을 빚었어.,송편 빚었어.,송편은 빚었어.,송편이랑 만두를 둘 다 빚었어.,송편만 빚었어.,송편이랑 만두를 둘 다 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편을 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편을 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편은 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편은 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편만 빚었어.,보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,연아는 동현이가 송편과 만두를 둘 다 빚었다고 답하려고 합니다. 보람: 동현이는 뭘 빚었어? 연아: 송편이랑 만두를 둘 다 빚었어.,-12.965892409524846,-13.860825165002009,-10.662025049081802,-12.053828816946432,-11.929007224105467,-13.177027485963269,-12.519591296707192,-12.979685621671681,-10.722151472674069,-11.496551536084054,-12.519591296707192,-12.979685621671681
336,337,Crit43,43,WhQ-One,WhQ,One,아름: 호섭이는 뭘 담갔어? 석현: ,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: ,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다.,아름,호섭이는 뭘 담갔어?,석현,배추김치를 담갔어.,배추김치 담갔어.,배추김치는 담갔어.,배추김치만 담갔어.,배추김치만 담갔어.,배추김치랑 깍두기를 둘 다 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치를 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치를 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치는 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치는 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치만 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치만 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치만 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치만 담갔어.,아름: 호섭이는 뭘 담갔어? 석현: 배추김치랑 깍두기를 둘 다 담갔어.,석현이는 호섭이가 배추김치와 깍두기 중에 배추김치만 담갔다고 답하려고 합니다. 아름: 호섭이는 뭘 담갔어? 석현: 배추김치랑 깍두기를 둘 다 담갔어.,-12.269911321267278,-13.12900807248358,-11.294381220227224,-12.110681306887292,-11.955218237678409,-12.70857207587758,-11.301541323325505,-12.116162561768014,-11.301541323325505,-12.116162561768014,-11.275589400398365,-12.276640346841628
